task,type,deadline,status
Azure Solutions Architect renewal prep,Certification,2026-04-18 12:00,In Progress
HIPAA awareness refresher (annual),Training,2026-04-19 13:00,Not Started
Internal prompt-engineering guild session,Internal learning,2026-04-20 14:00,Completed
Power BI advanced modeling course,Wellness / admin,2026-04-21 15:00,In Progress
Company ethics and compliance module,Certification,2026-04-22 16:00,Not Started
Kubernetes fundamentals path,Training,2026-04-23 17:00,Completed
Stakeholder storytelling workshop,Internal learning,2026-04-24 12:00,In Progress
Time management for consultants (L&D),Wellness / admin,2026-04-25 13:00,Not Started
Secure coding fundamentals,Certification,2026-04-26 14:00,Completed
Data governance brown bag series,Training,2026-04-27 15:00,In Progress
Mentor coffee chats (quarterly),Internal learning,2026-04-18 16:00,Not Started
Expense policy update acknowledgment,Wellness / admin,2026-04-19 17:00,Completed
Azure Solutions Architect renewal prep (2),Certification,2026-04-20 12:00,In Progress
HIPAA awareness refresher (annual) (2),Training,2026-04-21 13:00,Not Started
Internal prompt-engineering guild session (2),Internal learning,2026-04-22 14:00,Completed
Power BI advanced modeling course (2),Wellness / admin,2026-04-23 15:00,In Progress
Company ethics and compliance module (2),Certification,2026-04-24 16:00,Not Started
Kubernetes fundamentals path (2),Training,2026-04-25 17:00,Completed
Stakeholder storytelling workshop (2),Internal learning,2026-04-26 12:00,In Progress
Time management for consultants (L&D) (2),Wellness / admin,2026-04-27 13:00,Not Started
Secure coding fundamentals (2),Certification,2026-04-18 14:00,Completed
Data governance brown bag series (2),Training,2026-04-19 15:00,In Progress
